time unit: s, ADC_OF1, CS_ADC, MOSI, MISO, ADC_D1[13..0],-4682.275256,402.2006231,MAX,min,
449,0,1,1,1,-4832, ,,,,
450,0,1,1,1,-4843, ,,,,
451,0,1,1,1,-4850, ,,,,
452,0,1,1,1,-4854, ,,,,
453,0,1,1,1,-4859, ,,,,
454,0,1,1,1,-4863, ,,,,
455,0,1,1,1,-4868, ,,,,
456,0,1,1,1,-4871, ,,,,
457,0,1,1,1,-4876, ,,,,
458,0,1,1,1,-4880, ,,,,
459,0,1,1,1,-4886, ,,,,
460,0,1,1,1,-4890, ,,,,
461,0,1,1,1,-4891, ,,,,
462,0,1,1,1,-4891, ,,,,
463,0,1,1,1,-4890, ,,,,
464,0,1,1,1,-4889, ,,,,
465,0,1,1,1,-4891, ,,,,
466,0,1,1,1,-4893, ,,,,
467,0,1,1,1,-4893, ,,,,
468,0,1,1,1,-4892, ,,,,
469,0,1,1,1,-4894, ,,,,
470,0,1,1,1,-4895, ,,,,
471,0,1,1,1,-4894, ,,,,
472,0,1,1,1,-4893, ,,,,
473,0,1,1,1,-4892, ,,,,
474,0,1,1,1,-4893, ,,,,
475,0,1,1,1,-4895, ,,,,
476,0,1,1,1,-4897, ,,,,
477,0,1,1,1,-4899, ,,,,
478,0,1,1,1,-4897, ,,,,
479,0,1,1,1,-4899, ,,,,
480,0,1,1,1,-4904, ,,,,
481,0,1,1,1,-4906, ,,,,
482,0,1,1,1,-4912, ,,,,
483,0,1,1,1,-4916, ,,,,
484,0,1,1,1,-4920, ,,,,
485,0,1,1,1,-4923, ,,,,
486,0,1,1,1,-4925, ,,,,
487,0,1,1,1,-4931, ,,,,
488,0,1,1,1,-4933, ,,,,
489,0,1,1,1,-4934, ,,,,
490,0,1,1,1,-4932, ,,,,
491,0,1,1,1,-4932, ,,,,
492,0,1,1,1,-4933, ,,,,
493,0,1,1,1,-4933, ,,,,
494,0,1,1,1,-4932, ,,,,
495,0,1,1,1,-4931, ,,,,
496,0,1,1,1,-4932, ,,,,
497,0,1,1,1,-4934, ,,,,
498,0,1,1,1,-4932, ,,,,
499,0,1,1,1,-4931, ,,,,
500,0,1,1,1,-4931, ,,,,
501,0,1,1,1,-4932, ,,,,
502,0,1,1,1,-4933, ,,,,
503,0,1,1,1,-4934, ,,,,
504,0,1,1,1,-4933, ,,,,
505,0,1,1,1,-4936, ,,,,
506,0,1,1,1,-4937, ,,,,
507,0,1,1,1,-4936, ,,,,
508,0,1,1,1,-4938, ,,,,
509,0,1,1,1,-4938, ,,,,
510,0,1,1,1,-4938, ,,,,
511,0,1,1,1,-4939, ,,,,
512,0,1,1,1,-4937, ,,,,
513,0,1,1,1,-4919, ,,,,
514,0,1,1,1,-4804, ,,,,
515,0,1,1,1,-4558, ,,,,
516,0,1,1,1,-4250, ,,,,
517,0,1,1,1,-3957, ,,,,
518,0,1,1,1,-3733, ,,,,
519,0,1,1,1,-3594, ,,,,
520,0,1,1,1,-3534, ,,,,
521,0,1,1,1,-3529, ,,,,
522,0,1,1,1,-3557, ,,,,
523,0,1,1,1,-3609, ,,,,
524,0,1,1,1,-3680, ,,,,
525,0,1,1,1,-3764, ,,,,
526,0,1,1,1,-3850, ,,,,
527,0,1,1,1,-3934, ,,,,
528,0,1,1,1,-4014, ,,,,
529,0,1,1,1,-4090, ,,,,
530,0,1,1,1,-4159, ,,,,
531,0,1,1,1,-4227, ,,,,
532,0,1,1,1,-4290, ,,,,
533,0,1,1,1,-4350, ,,,,
534,0,1,1,1,-4403, ,,,,
535,0,1,1,1,-4449, ,,,,
536,0,1,1,1,-4494, ,,,,
537,0,1,1,1,-4534, ,,,,
538,0,1,1,1,-4571, ,,,,
539,0,1,1,1,-4605, ,,,,
540,0,1,1,1,-4639, ,,,,
541,0,1,1,1,-4668, ,,,,
542,0,1,1,1,-4695, ,,,,
543,0,1,1,1,-4723, ,,,,
544,0,1,1,1,-4744, ,,,,
545,0,1,1,1,-4762, ,,,,
546,0,1,1,1,-4778, ,,,,
547,0,1,1,1,-4794, ,,,,
548,0,1,1,1,-4806, ,,,,
549,0,1,1,1,-4819, ,,,,
550,0,1,1,1,-4831, ,,,,
551,0,1,1,1,-4840, ,,,,
552,0,1,1,1,-4850, ,,,,
553,0,1,1,1,-4857, ,,,,
554,0,1,1,1,-4865, ,,,,
555,0,1,1,1,-4870, ,,,,
556,0,1,1,1,-4880, ,,,,
557,0,1,1,1,-4885, ,,,,
558,0,1,1,1,-4888, ,,,,
559,0,1,1,1,-4899, ,,,,
560,0,1,1,1,-4903, ,,,,
561,0,1,1,1,-4904, ,,,,
562,0,1,1,1,-4907, ,,,,
563,0,1,1,1,-4907, ,,,,
564,0,1,1,1,-4907, ,,,,
565,0,1,1,1,-4906, ,,,,
566,0,1,1,1,-4904, ,,,,
567,0,1,1,1,-4904, ,,,,
568,0,1,1,1,-4904, ,,,,
569,0,1,1,1,-4904, ,,,,
570,0,1,1,1,-4904, ,,,,
571,0,1,1,1,-4902, ,,,,
572,0,1,1,1,-4903, ,,,,
573,0,1,1,1,-4906, ,,,,
574,0,1,1,1,-4911, ,,,,
575,0,1,1,1,-4915, ,,,,
576,0,1,1,1,-4921, ,,,,
577,0,1,1,1,-4924, ,,,,
578,0,1,1,1,-4926, ,,,,
579,0,1,1,1,-4927, ,,,,
580,0,1,1,1,-4925, ,,,,
581,0,1,1,1,-4930, ,,,,
582,0,1,1,1,-4931, ,,,,
583,0,1,1,1,-4934, ,,,,
584,0,1,1,1,-4936, ,,,,
585,0,1,1,1,-4935, ,,,,
586,0,1,1,1,-4935, ,,,,
587,0,1,1,1,-4934, ,,,,
588,0,1,1,1,-4933, ,,,,
589,0,1,1,1,-4932, ,,,,
590,0,1,1,1,-4933, ,,,,
591,0,1,1,1,-4931, ,,,,
592,0,1,1,1,-4933, ,,,,
593,0,1,1,1,-4934, ,,,,
594,0,1,1,1,-4933, ,,,,
595,0,1,1,1,-4930, ,,,,
596,0,1,1,1,-4929, ,,,,
597,0,1,1,1,-4925, ,,,,
598,0,1,1,1,-4928, ,,,,
599,0,1,1,1,-4927, ,,,,
600,0,1,1,1,-4929, ,,,,
601,0,1,1,1,-4930, ,,,,
602,0,1,1,1,-4929, ,,,,
603,0,1,1,1,-4928, ,,,,
604,0,1,1,1,-4930, ,,,,
605,0,1,1,1,-4928, ,,,,
606,0,1,1,1,-4927, ,,,,
607,0,1,1,1,-4928, ,,,,
608,0,1,1,1,-4928, ,,,,
609,0,1,1,1,-4929, ,,,,
610,0,1,1,1,-4933, ,,,,
611,0,1,1,1,-4935, ,,,,
612,0,1,1,1,-4935, ,,,,
613,0,1,1,1,-4919, ,,,,
614,0,1,1,1,-4802, ,,,,
615,0,1,1,1,-4568, ,,,,
616,0,1,1,1,-4268, ,,,,
617,0,1,1,1,-3981, ,,,,
618,0,1,1,1,-3756, ,,,,
619,0,1,1,1,-3622, ,,,,
620,0,1,1,1,-3559, ,,,,
621,0,1,1,1,-3551, ,,,,
622,0,1,1,1,-3578, ,,,,
623,0,1,1,1,-3632, ,,,,
624,0,1,1,1,-3699, ,,,,
625,0,1,1,1,-3780, ,,,,
626,0,1,1,1,-3864, ,,,,
627,0,1,1,1,-3951, ,,,,
628,0,1,1,1,-4030, ,,,,
629,0,1,1,1,-4111, ,,,,
630,0,1,1,1,-4181, ,,,,
631,0,1,1,1,-4251, ,,,,
632,0,1,1,1,-4314, ,,,,
633,0,1,1,1,-4374, ,,,,
634,0,1,1,1,-4424, ,,,,
635,0,1,1,1,-4474, ,,,,
636,0,1,1,1,-4518, ,,,,
637,0,1,1,1,-4557, ,,,,
638,0,1,1,1,-4596, ,,,,
639,0,1,1,1,-4627, ,,,,
640,0,1,1,1,-4655, ,,,,
641,0,1,1,1,-4682, ,,,,
642,0,1,1,1,-4705, ,,,,
643,0,1,1,1,-4726, ,,,,
644,0,1,1,1,-4742, ,,,,
645,0,1,1,1,-4761, ,,,,
646,0,1,1,1,-4778, ,,,,
647,0,1,1,1,-4794, ,,,,
